FAOSTAT 2013,,,,,
Elements Ê,,Areas Ê,,Items Ê,2009
Nigeria,159,Apples and products,2617,"16Ê128.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Nigeria,159,"Oranges, Mandarines",2611,"20Ê360.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Norway,162,Apples and products,2617,"167Ê391.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Norway,162,"Oranges, Mandarines",2611,"184Ê444.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Occupied Palestinian Territory,299,Apples and products,2617,"11Ê906.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Occupied Palestinian Territory,299,"Oranges, Mandarines",2611,"47Ê162.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Pakistan,165,Apples and products,2617,"342Ê321.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Pakistan,165,"Oranges, Mandarines",2611,"1Ê807Ê103.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Panama,166,Apples and products,2617,"36Ê122.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Panama,166,"Oranges, Mandarines",2611,"46Ê998.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Paraguay,169,Apples and products,2617,"6Ê363.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Paraguay,169,"Oranges, Mandarines",2611,"268Ê592.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Peru,170,Apples and products,2617,"133Ê868.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Peru,170,"Oranges, Mandarines",2611,"366Ê193.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Philippines,171,Apples and products,2617,"113Ê543.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Philippines,171,"Oranges, Mandarines",2611,"137Ê185.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Poland,173,Apples and products,2617,"754Ê465.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Poland,173,"Oranges, Mandarines",2611,"235Ê261.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Portugal,174,Apples and products,2617,"299Ê460.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Portugal,174,"Oranges, Mandarines",2611,"298Ê334.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Republic of Korea,117,Apples and products,2617,"376Ê240.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Republic of Korea,117,"Oranges, Mandarines",2611,"1Ê009Ê303.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Republic of Moldova,146,Apples and products,2617,"60Ê051.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Republic of Moldova,146,"Oranges, Mandarines",2611,"11Ê225.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Romania,183,Apples and products,2617,"450Ê013.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Romania,183,"Oranges, Mandarines",2611,"120Ê693.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Russian Federation,185,Apples and products,2617,"2Ê855Ê023.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Russian Federation,185,"Oranges, Mandarines",2611,"1Ê149Ê210.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Rwanda,184,Apples and products,2617,"1Ê757.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Rwanda,184,"Oranges, Mandarines",2611,"3Ê966.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saint Kitts and Nevis,188,Apples and products,2617,"750.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saint Kitts and Nevis,188,"Oranges, Mandarines",2611,"1Ê181.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saint Lucia,189,Apples and products,2617,"1Ê313.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saint Lucia,189,"Oranges, Mandarines",2611,"3Ê334.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saint Vincent and the Grenadines,191,Apples and products,2617,"1Ê923.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saint Vincent and the Grenadines,191,"Oranges, Mandarines",2611,"4Ê929.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Samoa,244,Apples and products,2617,"213.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Samoa,244,"Oranges, Mandarines",2611,"148.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sao Tome and Principe,193,Apples and products,2617,"81.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sao Tome and Principe,193,"Oranges, Mandarines",2611,"209.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saudi Arabia,194,Apples and products,2617,"153Ê626.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Saudi Arabia,194,"Oranges, Mandarines",2611,"159Ê331.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Senegal,195,Apples and products,2617,"8Ê018.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Senegal,195,"Oranges, Mandarines",2611,"43Ê044.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Serbia,272,Apples and products,2617,"102Ê725.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Serbia,272,"Oranges, Mandarines",2611,"68Ê756.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Seychelles,196,Apples and products,2617,"587.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Seychelles,196,"Oranges, Mandarines",2611,"1Ê051.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sierra Leone,197,Apples and products,2617,"266.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sierra Leone,197,"Oranges, Mandarines",2611,"134.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Slovakia,199,Apples and products,2617,"109Ê535.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Slovakia,199,"Oranges, Mandarines",2611,"83Ê488.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Slovenia,198,Apples and products,2617,"87Ê775.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Slovenia,198,"Oranges, Mandarines",2611,"20Ê346.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Solomon Islands,25,Apples and products,2617,"68.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Solomon Islands,25,"Oranges, Mandarines",2611,"1Ê808.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
South Africa,202,Apples and products,2617,"339Ê456.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
South Africa,202,"Oranges, Mandarines",2611,"344Ê049.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Spain,203,Apples and products,2617,"559Ê617.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Spain,203,"Oranges, Mandarines",2611,"883Ê297.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sri Lanka,38,Apples and products,2617,"21Ê901.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sri Lanka,38,"Oranges, Mandarines",2611,"21Ê003.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sudan (former),206,Apples and products,2617,"11Ê505.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sudan (former),206,"Oranges, Mandarines",2611,"119Ê027.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Suriname,207,"Oranges, Mandarines",2611,"11Ê432.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Swaziland,209,Apples and products,2617,"6Ê336.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Swaziland,209,"Oranges, Mandarines",2611,"19Ê042.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sweden,210,Apples and products,2617,"165Ê230.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Sweden,210,"Oranges, Mandarines",2611,"471Ê527.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Switzerland,211,Apples and products,2617,"173Ê461.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Switzerland,211,"Oranges, Mandarines",2611,"100Ê800.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Syrian Arab Republic,212,Apples and products,2617,"382Ê806.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Syrian Arab Republic,212,"Oranges, Mandarines",2611,"659Ê460.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Tajikistan,208,Apples and products,2617,"15Ê036.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Tajikistan,208,"Oranges, Mandarines",2611,"1Ê106.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Thailand,216,Apples and products,2617,"46Ê447.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Thailand,216,"Oranges, Mandarines",2611,"935Ê842.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
The former Yugoslav Republic of Macedonia,154,Apples and products,2617,"50Ê083.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
The former Yugoslav Republic of Macedonia,154,"Oranges, Mandarines",2611,"23Ê149.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Timor-Leste,176,Apples and products,2617,"51.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Timor-Leste,176,"Oranges, Mandarines",2611,"1Ê689.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Togo,217,Apples and products,2617,"1Ê717.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Togo,217,"Oranges, Mandarines",2611,"13Ê882.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Trinidad and Tobago,220,Apples and products,2617,"5Ê924.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Trinidad and Tobago,220,"Oranges, Mandarines",2611,"4Ê335.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Tunisia,222,Apples and products,2617,"100Ê628.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Tunisia,222,"Oranges, Mandarines",2611,"126Ê357.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Turkey,223,Apples and products,2617,"2Ê359Ê367.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Turkey,223,"Oranges, Mandarines",2611,"1Ê764Ê896.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Turkmenistan,213,Apples and products,2617,"40Ê000.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Turkmenistan,213,"Oranges, Mandarines",2611,,
Food supply quantity (tonnes) (tonnes),,,,,
Uganda,226,Apples and products,2617,"3Ê358.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Uganda,226,"Oranges, Mandarines",2611,"9Ê264.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ukraine,230,Apples and products,2617,"659Ê576.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ukraine,230,"Oranges, Mandarines",2611,"309Ê683.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United Arab Emirates,225,Apples and products,2617,"85Ê278.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United Arab Emirates,225,"Oranges, Mandarines",2611,"178Ê826.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United Kingdom,229,Apples and products,2617,"1Ê718Ê960.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United Kingdom,229,"Oranges, Mandarines",2611,"2Ê547Ê228.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United Republic of Tanzania,215,Apples and products,2617,"8Ê803.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United Republic of Tanzania,215,"Oranges, Mandarines",2611,"3Ê241.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United States of America,231,Apples and products,2617,"7Ê449Ê887.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
United States of America,231,"Oranges, Mandarines",2611,"9Ê338Ê026.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Uruguay,234,Apples and products,2617,"48Ê197.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Uruguay,234,"Oranges, Mandarines",2611,"82Ê936.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Uzbekistan,235,Apples and products,2617,"521Ê860.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Uzbekistan,235,"Oranges, Mandarines",2611,"3Ê441.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Vanuatu,155,Apples and products,2617,"871.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Vanuatu,155,"Oranges, Mandarines",2611,"592.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Venezuela (Bolivarian Republic of),236,Apples and products,2617,"33Ê496.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Venezuela (Bolivarian Republic of),236,"Oranges, Mandarines",2611,"409Ê334.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Viet Nam,237,Apples and products,2617,"163Ê568.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Viet Nam,237,"Oranges, Mandarines",2611,"658Ê825.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Yemen,249,Apples and products,2617,"91Ê038.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Yemen,249,"Oranges, Mandarines",2611,"146Ê194.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Zambia,251,Apples and products,2617,"6Ê912.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Zambia,251,"Oranges, Mandarines",2611,"13Ê062.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Zimbabwe,181,Apples and products,2617,"12Ê742.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Zimbabwe,181,"Oranges, Mandarines",2611,"77Ê813.00, tonnes ()",
,,,,,
,,,,,
Flags :,,,,,
,,,,,
"var _gaq=_gaq||[];_gaq.push(['_setAccount','UA-30463742-1']);_gaq.push(['_trackPageview']);(function(){var ga=document.createElement('script');ga.type='text/javascript';ga.async=true;ga.src=('https:'==document.location.protocol?'https://ssl':'http://www')+'.google-analytics.com/ga.js';var s=document.getElementsByTagName('script')[0];s.parentNode.insertBefore(ga,s)})();",
Flag,Description
,Official data
